id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
97945,Deluxw-Apartm. with roof terrace,517685,Angelika,,Hadern,48.11492,11.48954,Entire home/apt,80,2,129,2019-09-30,1.17,2,3
114695,Apartment Munich/East with sundeck,581737,Stephan,,Berg am Laim,48.12071,11.63758,Entire home/apt,95,2,53,2019-10-03,0.50,2,99
127383,City apartment next to Pinakothek,630556,Sonja,,Maxvorstadt,48.15199,11.56482,Entire home/apt,99,2,95,2020-08-16,1.04,1,3
159634,"Fancy, bright central roof top flat",765694,Sanna,,Pasing-Obermenzing,48.13855,11.46586,Entire home/apt,52,5,34,2019-06-24,0.37,1,0
170154,"Own floor & bath, parking & breakfast",108297,Alex,,Sendling-Westpark,48.10814,11.52733,Private room,55,2,480,2020-03-04,4.54,1,211
170815,Your own flat near central station!,814793,Inge,,Neuhausen-Nymphenburg,48.16071,11.54314,Entire home/apt,65,3,64,2017-05-27,0.53,1,0
171749,1min to subway - Wettersteinplatz,819382,Tarek,,Untergiesing-Harlaching,48.10754,11.57842,Private room,35,3,358,2019-12-29,3.00,1,60
172672,Cozy guest room in high-end flat.,823913,Karin,,Schwabing-West,48.16341,11.56366,Private room,49,1,214,2019-09-26,2.48,2,0
179640,GREEN OASIS near center & tradefair,860212,Ingrid,,Bogenhausen,48.14453,11.63769,Private room,35,2,50,2017-10-01,0.43,1,364
183634,munich all-inclusive camping,880705,Toby,,Allach-Untermenzing,48.17532,11.44526,Shared room,50,1,0,,,1,365
186596,2-room-flat in central location,910486,Hatice,,Au-Haidhausen,48.12008,11.57725,Shared room,82,1,163,2019-09-29,1.57,5,234
187359,Charming apartment near City Center,901209,Christian,,Neuhausen-Nymphenburg,48.15638,11.53935,Private room,78,2,32,2019-09-29,0.31,1,269
187386,"bedroom, with 2 single beds and tv",901512,Janine,,Berg am Laim,48.12031,11.62787,Private room,59,2,16,2019-09-23,0.13,1,365
189551,Beautiful Attic Floor Dwelling,914449,Peter,,Schwanthalerhöhe,48.13592,11.54427,Entire home/apt,160,3,354,2020-03-01,3.09,1,1
189582,CLASSY APARTMENT in Munich,914564,Christiane,,Bogenhausen,48.15556,11.64903,Private room,25,30,13,2018-08-05,0.14,1,0
189606,"Nice apartment near river ""Isar""",914691,Klaus,,Au-Haidhausen,48.12543,11.58042,Entire home/apt,51,2,166,2021-06-12,1.76,2,295
190383,WOW! direct binding to trade fairs,919644,Christine,,Berg am Laim,48.12424,11.63186,Private room,25,2,150,2019-06-14,1.34,1,125
190653,Pretty and renovated apartment,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12951,11.56103,Entire home/apt,81,1,169,2020-07-11,1.59,1,335
191405,Single Apartment in Central Munich,925836,Esther,,Au-Haidhausen,48.12204,11.58064,Entire home/apt,65,2,20,2018-01-14,0.19,1,149
